nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/nas-port-type | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/nat-inside-service-id | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/nat-outside-ip-address | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/nat-outside-service-id | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/nat-port-range-block | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/nat-subscriber-string | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/octet-counters | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/proxied-subscriber-data | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/release-reason | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/remote-id | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/rssi | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/session-time | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/subscriber-id | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/toserver-dhcp6-options | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/ue-creation-type | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/user-name | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/wlan-ssid-vlan | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/xconnect-tunnel-local-ipv6-address | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/xconnect-tunnel-remote-ipv6-address | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/accounting/include-attributes/xconnect-tunnel-service | boolean
